user_olabel	user_slabel	o	s	olabel	slabel
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_heart_valve	UBERON:0003978	UBERON:0002080	valve	heart right ventricle
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_heart_valve	UBERON:0003978	UBERON:0002079	valve	left cardiac atrium
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_heart_valve	UBERON:0003978	UBERON:0002078	valve	right cardiac atrium
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_mitral_valve	UBERON:0002135	UBERON:0002079	mitral valve	left cardiac atrium
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_mitral_valve	UBERON:0002135	UBERON:0002078	mitral valve	right cardiac atrium
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_mitral_valve	UBERON:0002135	UBERON:0002084	mitral valve	heart left ventricle
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_tricuspid_valve	UBERON:0002134	UBERON:0002080	tricuspid valve	heart right ventricle
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_tricuspid_valve	UBERON:0002134	UBERON:0002078	tricuspid valve	right cardiac atrium
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_aortic_valve	UBERON:0002137	UBERON:0002079	aortic valve	left cardiac atrium
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_aortic_valve	UBERON:0002137	UBERON:0002078	aortic valve	right cardiac atrium
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_aortic_valve	UBERON:0002137	UBERON:0002135	aortic valve	mitral valve
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_aortic_valve	UBERON:0002137	UBERON:0002084	aortic valve	heart left ventricle
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_pulmonary_valve	UBERON:0002146	UBERON:0002137	pulmonary valve	aortic valve
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_pulmonary_valve	UBERON:0002146	UBERON:0002080	pulmonary valve	heart right ventricle
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_pulmonary_valve	UBERON:0002146	UBERON:0002079	pulmonary valve	left cardiac atrium
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_pulmonary_valve	UBERON:0002146	UBERON:0002078	pulmonary valve	right cardiac atrium
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_pulmonary_valve	UBERON:0002146	UBERON:0002135	pulmonary valve	mitral valve
http://purl.org/ccf/latest/ccf.owl#VHMHeart	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_pulmonary_valve	UBERON:0002146	UBERON:0002094	pulmonary valve	interventricular septum
