user_olabel	user_slabel	o	s	olabel	slabel
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lungs_L	UBERON:0002168	UBERON:0004888	left lung	right lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lungs_L	UBERON:0002168	UBERON:0004888	left lung	right lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lungs_L	UBERON:0002168	UBERON:0004888	left lung	right lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_L	UBERON:0004887	UBERON:0012066	left lung hilus	lobar bronchus of left lung lower lobe
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lungs_L_upper_lobe	UBERON:0008952	UBERON:0004888	upper lobe of left lung	right lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lungs_L_upper_lobe	UBERON:0008952	UBERON:0004887	upper lobe of left lung	left lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lungs_L_upper_lobe	UBERON:0008952	UBERON:0004887	upper lobe of left lung	left lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lungs_L_upper_lobe	UBERON:0008952	UBERON:0004888	upper lobe of left lung	right lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lungs_L_upper_lobe	UBERON:0008952	UBERON:0004888	upper lobe of left lung	right lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lungs_L_upper_lobe	UBERON:0008952	UBERON:0012066	upper lobe of left lung	lobar bronchus of left lung lower lobe
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lungs_L_upper_lobe	UBERON:0008952	UBERON:0004887	upper lobe of left lung	left lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_upper_L	UBERON:0004887	UBERON:0012065	left lung hilus	lobar bronchus of left lung upper lobe
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_upper_L	UBERON:0004887	UBERON:0012066	left lung hilus	lobar bronchus of left lung lower lobe
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lungs_L_lower_lobe	UBERON:0008953	UBERON:0004888	lower lobe of left lung	right lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lungs_L_lower_lobe	UBERON:0008953	UBERON:0004888	lower lobe of left lung	right lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_lower_L	UBERON:0004887	UBERON:0012066	left lung hilus	lobar bronchus of left lung lower lobe
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_R	UBERON:0004888	UBERON:0002185	right lung hilus	bronchus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_bronchi	UBERON:0002185	UBERON:0004888	bronchus	right lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_bronchi	UBERON:0002185	UBERON:0004888	bronchus	right lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lobar_bronchus_L	UBERON:0003405	UBERON:0004887	lobar bronchus of left lung	left lung hilus
http://purl.org/ccf/latest/ccf.owl#VHMLungV1.1	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_lobar_bronchus_L	UBERON:0003405	UBERON:0004887	lobar bronchus of left lung	left lung hilus
