user_olabel	user_slabel	o	s	olabel	slabel
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	UBERON:0004539	UBERON:0002189	Right Kidney	outer cortex of kidney
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	UBERON:0004539	UBERON:0004200	Right Kidney	renal pyramid
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	UBERON:0004539	UBERON:0001284	Right Kidney	renal column
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	UBERON:0004539	UBERON:0004200	Right Kidney	renal pyramid
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_kidney_capsule_R	UBERON:0002015	UBERON:0002189	kidney capsule	outer cortex of kidney
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_kidney_capsule_R	UBERON:0002015	UBERON:0004200	kidney capsule	renal pyramid
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_kidney_capsule_R	UBERON:0002015	UBERON:0001284	kidney capsule	renal column
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_kidney_capsule_R	UBERON:0002015	UBERON:0004200	kidney capsule	renal pyramid
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_of_kidney_R	UBERON:0008716	UBERON:0002189	hilum of kidney	outer cortex of kidney
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_of_kidney_R	UBERON:0008716	UBERON:0004200	hilum of kidney	renal pyramid
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_of_kidney_R	UBERON:0008716	UBERON:0002015	hilum of kidney	kidney capsule
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_of_kidney_R	UBERON:0008716	UBERON:0001228	hilum of kidney	renal papilla
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_of_kidney_R	UBERON:0008716	UBERON:0001284	hilum of kidney	renal column
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_of_kidney_R	UBERON:0008716	UBERON:0004200	hilum of kidney	renal pyramid
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_of_kidney_R	UBERON:0008716	UBERON:0004200	hilum of kidney	renal pyramid
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_of_kidney_R	UBERON:0008716	UBERON:0004200	hilum of kidney	renal pyramid
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_hilum_of_kidney_R	UBERON:0008716	UBERON:0001228	hilum of kidney	renal papilla
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_renal_medulla_R	UBERON:0000362	UBERON:0002189	renal medulla	outer cortex of kidney
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_renal_medulla_R	UBERON:0000362	UBERON:0001284	renal medulla	renal column
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_renal_papilla_R	UBERON:0001228	UBERON:0002189	renal papilla	outer cortex of kidney
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_renal_papilla_R	UBERON:0001228	UBERON:0004200	renal papilla	renal pyramid
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_renal_papilla_R	UBERON:0001228	UBERON:0002015	renal papilla	kidney capsule
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_renal_papilla_R	UBERON:0001228	UBERON:0001284	renal papilla	renal column
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_renal_papilla_R	UBERON:0001228	UBERON:0004200	renal papilla	renal pyramid
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_renal_papilla_R	UBERON:0001228	UBERON:0004200	renal papilla	renal pyramid
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_renal_papilla_R_j	UBERON:0001228	UBERON:0002189	renal papilla	outer cortex of kidney
http://purl.org/ccf/latest/ccf.owl#VHMRightKidney	http://purl.org/ccf/latest/ccf.owl#VHMaleOrgans_VH_M_renal_papilla_R_j	UBERON:0001228	UBERON:0004200	renal papilla	renal pyramid
